session_id,user_id,restaurant_id,cuisine,item_id,category,price,timestamp
1,19,47,Fast Food,41,Drink,335,2025-03-10 17:02:00
1,19,47,Fast Food,122,Dessert,222,2025-01-17 10:37:00
1,19,47,Fast Food,123,Main,128,2025-02-15 10:18:00
2,192,43,Fast Food,29,Side,174,2025-01-05 17:06:00
2,192,43,Fast Food,60,Main,160,2025-01-28 06:30:00
3,185,1,Fast Food,24,Main,349,2025-02-20 12:33:00
3,185,1,Fast Food,62,Dessert,423,2025-01-19 11:58:00
3,185,1,Fast Food,38,Dessert,393,2025-01-11 11:50:00
4,40,32,South Indian,184,Side,208,2025-02-02 22:24:00
5,100,32,Fast Food,3,Drink,253,2025-01-05 12:20:00
5,100,32,Fast Food,187,Side,251,2025-03-05 12:24:00
5,100,32,Fast Food,4,Side,345,2025-01-13 06:42:00
6,8,48,North Indian,193,Dessert,281,2025-03-01 05:30:00
7,131,30,Fast Food,164,Main,419,2025-02-16 21:50:00
8,189,19,North Indian,103,Main,487,2025-01-16 13:44:00
9,11,14,South Indian,141,Drink,224,2025-03-05 12:34:00
10,25,29,South Indian,20,Side,375,2025-01-29 01:52:00
11,114,40,Fast Food,120,Main,493,2025-03-02 13:38:00
11,114,40,Fast Food,28,Dessert,422,2025-01-22 05:15:00
11,114,40,Fast Food,127,Dessert,458,2025-03-04 00:46:00
11,114,40,Fast Food,53,Drink,195,2025-01-20 17:53:00
12,199,43,North Indian,176,Side,454,2025-02-24 13:56:00
13,105,43,Fast Food,34,Drink,349,2025-03-05 19:54:00
13,105,43,Fast Food,62,Dessert,252,2025-01-12 16:38:00
13,105,43,Fast Food,95,Side,275,2025-01-27 03:53:00
14,103,26,Fast Food,36,Dessert,196,2025-02-15 15:10:00
14,103,26,Fast Food,164,Drink,223,2025-03-11 04:30:00
15,142,30,South Indian,3,Main,398,2025-01-01 18:09:00
15,142,30,South Indian,144,Main,142,2025-01-13 22:28:00
16,160,8,South Indian,121,Main,203,2025-01-27 23:20:00
16,160,8,South Indian,110,Drink,418,2025-01-30 23:51:00
16,160,8,South Indian,52,Main,319,2025-02-20 06:37:00
16,160,8,South Indian,174,Drink,462,2025-02-28 07:25:00
17,72,4,South Indian,1,Dessert,118,2025-01-05 22:46:00
17,72,4,South Indian,173,Side,161,2025-01-21 14:11:00
18,130,12,Fast Food,2,Drink,375,2025-03-08 04:33:00
18,130,12,Fast Food,89,Drink,473,2025-02-09 21:28:00
19,179,43,Fast Food,66,Main,154,2025-03-06 05:43:00
20,1,18,Fast Food,40,Dessert,444,2025-01-09 00:12:00
20,1,18,Fast Food,131,Dessert,402,2025-02-14 21:17:00
20,1,18,Fast Food,5,Dessert,321,2025-02-13 23:19:00
21,107,9,Fast Food,44,Side,478,2025-02-14 15:34:00
21,107,9,Fast Food,22,Dessert,118,2025-02-15 15:34:00
21,107,9,Fast Food,151,Dessert,163,2025-03-06 19:48:00
22,32,15,North Indian,146,Drink,288,2025-02-10 08:56:00
22,32,15,North Indian,134,Dessert,172,2025-02-27 01:14:00
22,32,15,North Indian,183,Drink,417,2025-02-04 05:28:00
23,100,20,Fast Food,122,Drink,402,2025-01-19 05:05:00
23,100,20,Fast Food,49,Side,112,2025-03-04 11:52:00
23,100,20,Fast Food,194,Dessert,181,2025-02-20 13:47:00
24,118,10,Fast Food,15,Drink,311,2025-01-23 01:58:00
24,118,10,Fast Food,82,Dessert,435,2025-03-06 03:59:00
24,118,10,Fast Food,84,Dessert,117,2025-02-18 12:20:00
24,118,10,Fast Food,185,Drink,257,2025-03-03 00:12:00
25,40,1,Fast Food,134,Dessert,368,2025-01-03 14:41:00
25,40,1,Fast Food,145,Main,156,2025-01-20 15:47:00
25,40,1,Fast Food,39,Drink,167,2025-02-10 05:35:00
26,82,33,Fast Food,25,Main,443,2025-02-28 21:10:00
27,52,40,North Indian,165,Main,144,2025-01-05 06:50:00
27,52,40,North Indian,179,Side,375,2025-01-19 14:49:00
27,52,40,North Indian,179,Main,318,2025-01-18 18:58:00
